"","Tree_site","Cadophora_finlandica","Cenococcum_geophilum","Chromelosporium1","Clavulina_cf._amethystina","Clavulina2","Clavulinopsis_helvola","Cortinarius1","Cortinarius2","Cortinarius3","Cortinarius4","Elaphomyces_decipiens","Entoloma1","Genabea1","Geopora1","Geopora2","Geopora3","Hebeloma_cf._atrobrunneum","Hebeloma1","Hebeloma2","Hebeloma3","Helvella1","Hydnobolites1","Inocybe_glabrescens","Inocybe_lacera_var._lacera","Inocybe3","Inocybe4","Inocybe5","Inocybe9","Laccaria_laccata","Laccaria1","Laccaria3","Lactarius_cf._subdulcis","Meliniomyces1","Otidea_cf._bufonia","Peziza1","Peziza2","Peziza3","Peziza4","Russula_emetica","Russula_laccata","Russula_nigricans","Russula_odorata","Russula_pascua","Sebacina_4","Sebacina_6","Sebacina1","Sebacina10","Sebacina11","Sebacina2","Sebacina3","Sebacina9","Thelephora_terristris","Tomentella_cf._bryophila","Tomentella_coerulea","Tomentella_ellisii","Tomentella_ramosissima","Tomentella10","Tomentella11","Tomentella12","Tomentella13","Tomentella14","Tomentella15","Tomentella16","Tomentella17","Tomentella18","Tomentella19","Tomentella2","Tomentella20","Tomentella21","Tomentella3","Tomentella4","Tomentella5","Tomentella6","Tomentella7","Tomentella8","Tomentella9","Tomentellopsis","Tuber1","Tuber2","Tuber3","Tuber4"
"17","40DIS","0.00000000","0.11111111","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.05555556","0.1666667","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.05555556","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.05555556","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.1666667","0.16666667","0.0000000","0.0000000","0.00000000","0.1111111","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.05555556","0.05555556","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"18","40PET","0.00000000","0.00000000","0.14285714","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.07142857","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.07142857","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.07142857","0.0000000","0.0000000","0.00000000","0.1428571","0.1428571","0.00000000","0.0000000","0.1428571","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.07142857","0.00000000","0.0000000","0.0","0.00000","0.07142857","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.07142857","0.0000000","0.00000000","0.0000000"
"19","49DIS","0.00000000","0.00000000","0.00000000","0.5454545","0.0000000","0.00000000","0.0000000","0.00000000","0.1363636","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.04545455","0.00000000","0.13636364","0.00000000","0.0000000","0.0","0.00000","0.04545455","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.04545455","0.00000000","0.0000000","0.00000000","0.04545455","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"20","49PED","0.00000000","0.06896552","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.06896552","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.82758621","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.03448276","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"21","49PET","0.00000000","0.00000000","0.00000000","0.3125000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0625000","0.00000000","0.0","0.00000000","0.00000000","0.0625000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.34375000","0.00000000","0.0000000","0.0","0.09375","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.09375000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.03125000","0.0000000","0.00000000","0.0000000"
"22","68CAN","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.06666667","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.26666667","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.33333333","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.13333333","0.00000000","0.0000000","0.00000000","0.00000000","0.2000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"23","68PET","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.31250000","0.06250000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0625000","0.0000000","0.00000000","0.00000000","0.18750000","0.00000000","0.12500000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.18750000","0.0625","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"24","68SER","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.2500000","0.00000000","0.375","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.125","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.25000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"25","89BEB","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.52941176","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.2352941","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.2352941","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"26","89DIS","0.00000000","0.04545455","0.04545455","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.13636364","0.04545455","0.0000000","0.09090909","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.04545455","0.00000000","0.00000000","0.04545455","0.13636364","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.04545455","0.00000000","0.00000000","0.00000000","0.00000000","0.04545455","0.000","0.04545455","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.09090909","0.0000","0.00000000","0.0000000","0.00000000","0.1818182"
"27","89PET","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.12500000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.25","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.5000000","0.00000000","0.00000000","0.0000","0.12500000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"28","92BEB","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.45454545","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.09090909","0.0000000","0.09090909","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.27272727","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.09090909","0.0000000"
"29","92DIS","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","1.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"30","AS1BEB","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.15384615","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.84615385","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"31","AS1HUM","0.00000000","0.38095238","0.00000000","0.0000000","0.0000000","0.04761905","0.0000000","0.00000000","0.0000000","0.04761905","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.1428571","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.09523810","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.04761905","0.14285714","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.04761905","0.00000000","0.00000000","0.00000000","0.04761905","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"32","AS1PET","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.22222222","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.0000000","0.11111111","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.66666667","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"33","AS3BEB","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.20000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.6000000","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.20000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.00000000","0.0000000"
"34","AS3HUM","0.00000000","0.00000000","0.06250000","0.0000000","0.0000000","0.00000000","0.0000000","0.00000000","0.0000000","0.00000000","0.25","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0625","0.00000000","0.06250000","0.00000000","0.0000000","0.00000000","0.5","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0625","0.00000000","0.0000000","0.00000000","0.0000000"
"35","AS3PET","0.00000000","0.07692308","0.00000000","0.0000000","0.0000000","0.03846154","0.0000000","0.00000000","0.0000000","0.00000000","0.00","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.0000000","0.0000000","0.00000000","0.000","0.0000000","0.0000000","0.0000","0.00000000","0.00000000","0.00000000","0.1153846","0.00000000","0.0","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.30769231","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.00000000","0.0000000","0.0000000","0.0000000","0.0000000","0.00000000","0.00000000","0.00000000","0.00000000","0.34615385","0.00000000","0.0000000","0.0","0.00000","0.00000000","0.00","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.000","0.00000000","0.00000000","0.00000000","0.0000000","0.00000000","0.00000000","0.0000","0.00000000","0.0000","0.00000000","0.0000000","0.11538462","0.0000000"
